From_id,To_id,Type
1,2,Have
1,3,Have
1,4,Have
1,5,Have
1,6,Have
2,7,Have
2,8,Have
2,9,Have
2,10,Have
2,11,Have
3,7,Have
3,8,Have
3,9,Have
3,10,Have
3,11,Have
3,12,Have
4,7,Have
4,8,Have
4,11,Have
5,7,Have
5,8,Have
5,11,Have
6,7,Have
6,8,Have
6,9,Have
6,10,Have
6,11,Have
6,12,Have
7,13,Have
8,14,Have
9,15,Have
10,16,Have
13,17,Have
14,18,Have
15,19,Have
16,20,Have
13,21,Have
13,22,Have
13,23,Have
13,24,Have
13,25,Have
13,26,Have
14,27,Have
14,28,Have
14,29,Have
14,30,Have
14,31,Have
14,32,Have
15,33,Have
15,34,Have
15,35,Have
15,36,Have
15,37,Have
15,38,Have
16,39,Have
16,40,Have
16,41,Have
16,42,Have
16,43,Have
16,44,Have
14,59,Have
14,60,Have
14,61,Have
15,62,Have
58,63,Have
58,64,Have
45,51,Have
46,52,Have
47,53,Have
48,54,Have
49,55,Have
50,55,Have
57,58,Have
2,57,Have
3,57,Have
4,57,Have
5,57,Have
6,57,Have
49,56,Have
59,45,Have
60,46,Have
61,47,Have
62,48,Have
63,49,Have
64,50,Have